transaction_id,listing_id,client_id,empl_id,transaction_amount,transaction_commission,transaction_date,transaction_type,client_role
1,124,158,46,1190995.43,35729.86,2024-04-19,sale,seller
2,87,147,10,2993.44,239.48,2024-04-19,rental,owner
3,54,36,47,4636.31,370.9,2024-04-22,rental,owner
4,148,191,42,2675414.94,80262.45,2024-04-23,sale,buyer
5,156,170,60,1298388.55,38951.66,2024-04-24,sale,buyer
6,143,21,53,5761.03,460.88,2024-04-24,rental,renter
7,90,78,54,1387116.58,41613.5,2024-04-25,sale,buyer
8,55,102,47,5775.6,462.05,2024-04-26,rental,owner
9,87,21,52,661593.03,19847.79,2024-04-27,sale,seller
10,49,176,33,7511.55,600.92,2024-04-28,rental,renter
11,70,41,59,5914.01,473.12,2024-04-29,rental,owner
12,42,167,58,970411.98,29112.36,2024-04-29,sale,buyer
13,27,152,1,4973.72,397.9,2024-04-30,rental,renter
14,51,171,28,1833274.18,54998.23,2024-04-30,sale,buyer
15,29,34,8,641983.37,19259.5,2024-05-01,sale,seller
16,168,59,36,4652.25,372.18,2024-05-01,rental,owner
17,61,179,34,1154124.68,34623.74,2024-05-01,sale,buyer
18,86,88,39,977890.72,29336.72,2024-05-02,sale,seller
19,123,39,50,1390448.84,41713.47,2024-05-02,sale,seller
20,130,112,55,1035607.02,31068.21,2024-05-03,sale,buyer
21,75,110,46,5108.07,408.65,2024-05-05,rental,renter
22,154,2,33,2130833.15,63924.99,2024-05-06,sale,seller
23,35,68,60,1188212.04,35646.36,2024-05-06,sale,seller
24,143,133,53,5177,414.16,2024-05-07,rental,owner
25,64,99,36,5293.9,423.51,2024-05-07,rental,owner
26,113,113,39,4463.13,357.05,2024-05-07,rental,renter
27,31,27,29,1777550.49,53326.51,2024-05-08,sale,buyer
28,51,101,9,1418578.06,42557.34,2024-05-08,sale,seller
29,80,111,43,2916.8,233.34,2024-05-11,rental,owner
30,51,170,13,681691.15,20450.73,2024-05-12,sale,buyer
31,5,177,9,2619834.31,78595.03,2024-05-12,sale,buyer
32,157,119,37,14668.16,1173.45,2024-05-14,rental,owner
33,44,187,1,1113515.33,33405.46,2024-05-14,sale,buyer
34,161,179,60,6720.94,537.68,2024-05-14,rental,owner
35,137,188,23,1453601.54,43608.05,2024-05-14,sale,buyer
36,101,162,20,4861.76,388.94,2024-05-16,rental,owner
37,122,54,39,5934.14,474.73,2024-05-18,rental,renter
38,116,39,11,5809.27,464.74,2024-05-18,rental,owner
39,141,99,46,1491390.11,44741.7,2024-05-19,sale,buyer
40,92,190,5,4252.01,340.16,2024-05-21,rental,owner
41,119,152,40,4961.55,396.92,2024-05-22,rental,owner
42,77,54,33,1189430.06,35682.9,2024-05-22,sale,buyer
43,178,39,16,2683.47,214.68,2024-05-24,rental,owner
44,100,183,20,5260.48,420.84,2024-05-25,rental,renter
45,162,170,20,2383571.95,71507.16,2024-05-27,sale,buyer
46,45,18,1,732738.91,21982.17,2024-05-28,sale,seller
47,43,154,14,1647713.13,49431.39,2024-05-29,sale,seller
48,177,5,30,3317.69,265.42,2024-05-31,rental,renter
49,123,98,18,1198910.33,35967.31,2024-06-02,sale,seller
50,135,76,39,6817.98,545.44,2024-06-02,rental,renter
51,10,29,38,10387.31,830.98,2024-06-03,rental,owner
52,154,70,13,8733.05,698.64,2024-06-04,rental,renter
53,178,37,19,4233.78,338.7,2024-06-05,rental,owner
54,27,181,34,1051861.58,31555.85,2024-06-06,sale,buyer
55,168,92,41,592499.13,17774.97,2024-06-06,sale,buyer
56,12,52,18,1972940.2,59188.21,2024-06-07,sale,buyer
57,135,144,24,5829.84,466.39,2024-06-07,rental,owner
58,81,173,7,2964.02,237.12,2024-06-08,rental,renter
